15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
7,1959,1,668,0,427,Sabin Merino
13,2426,8,3621,7,2901,Iñaki Williams
5,3409,1,1473,2,2614,Markel Susaeta
36,4487,24,3186,19,2899,Aritz Aduriz
4,483,0,493,0,62,Kike Sola
9,2310,4,3170,9,2517,Mikel Oyarzabal
3,1267,2,1956,3,1404,Adnan Januzaj
0,587,15,2097,7,1543,Juanmi
5,1616,0,136,1,652,David Concha
10,2085,14,2541,17,2346,Willian José
15,2400,16,1833,2,520,Jon Bautista
13,1173,,,0,229,Imanol Agirretxe
8,2631,12,3361,4,2046,Pione Sisto
2,973,1,694,1,896,Emre Mor
18,3075,26,3607,19,2566,Iago Aspas
14,1679,15,2297,15,2482,Maximiliano Gómez
1,1347,3,1607,0,240,Lucas Boyé
4,2093,4,2416,6,1386,Cristian Tello
4,1696,3,1246,1,112,Joel Campbell
1,2108,3,1704,4,2059,Joaquín
1,2048,,,0,1082,Francis Guerrero
11,2272,4,1650,7,638,Antonio Sanabria
23,3544,10,2665,12,1864,Sergio León
19,3482,20,3794,1,220,Rubén Castro
13,1629,,,20,2424,Loren Morón
2,1759,10,2475,1,1460,Pablo Piatti
7,2157,13,3400,15,2991,Gerard Moreno
6,1720,6,1450,7,2290,Leo Baptistão
8,1131,13,1916,2,1293,Sergio García
7,1302,2,795,,,Jairo Morillas
1,694,2,399,0,850,Zakaria Bakkali
6,1961,4,1739,2,159,Borja Valle
4,1546,3,872,2,1342,Federico Cartabia
2,1779,1,1500,0,534,Carles Gil
19,3342,8,1038,5,2123,Lucas Pérez
21,3223,12,3021,6,1503,Florin Andone
5,950,2,1064,5,1708,Adrián López
6,2603,1,503,0,102,Isaac Success
3,1042,3,849,3,625,Maxime Lestienne
1,1476,1,1903,3,1636,Chory Castro
3,2461,0,1052,0,1137,Keko
3,1399,1,1431,0,604,Samu García
10,3074,10,2046,3,1175,Diego Rolán
19,2685,1,683,2,1063,Borja Bastón
13,2848,19,3408,1,478,Brown Ideye
8,2398,0,355,0,808,Adalberto Peñaranda
,,1,373,2,903,Youssef En-Nesyri
11,2156,5,1607,15,1899,Cristhian Stuani
10,2299,10,2469,5,1363,Anthony Lozano
13,2121,2,764,3,466,Michael Olunga
3,1864,3,2159,4,2178,Takashi Inui
3,2026,11,3108,0,269,Pedro León
7,3342,5,1773,3,628,Fabián Orellana
1,766,3,2045,1,816,Iván Alejo
9,2001,2,1516,0,1107,Rubén Peña
11,2581,12,2872,4,1418,Sergi Enrich
4,1238,9,1635,5,1879,Kike
12,3007,3,1135,6,1479,Charles
6,2431,7,2558,4,2266,Alfonso Pedraza
2,1256,2,2101,1,810,Burgui
0,339,7,2111,5,1975,Ibai Gómez
7,2517,4,1977,0,588,Hernán Pérez
8,1664,8,2390,10,1933,Munir El Haddadi
12,1818,9,2272,2,1000,John Guidetti
18,2917,5,1367,3,484,Christian Santos
2,886,3,769,2,1172,Rubén Sobrino
9,812,15,2315,3,192,Ermedin Demirovic
13,3248,8,2039,2,1102,Alexander Szymanowski
16,2743,6,968,1,813,José Naranjo
0,1692,0,2100,2,1677,Nordin Amrabat
2,1873,4,1850,2,2076,Nabil El Zhar
7,2571,0,1048,0,986,Omar
9,2366,2,749,3,1859,Claudio Beauvue
2,1215,5,2280,2,983,Miguel Ángel Guerrero
,,13,3189,2,2156,Amath Ndiaye
3,2562,6,2534,0,120,Dani Pacheco
1,1905,2,2496,1,676,Álvaro Jiménez
3,615,0,283,6,933,Loïc Rémy
12,2541,21,3490,11,1645,Ángel Rodríguez
1,1023,22,3614,7,2160,Jorge Molina
7,2741,4,3087,7,2432,José Luis Morales
3,2540,14,2143,4,846,Fahad Al-Muwallad
9,3102,14,3025,5,1563,Ivi
2,923,10,2794,1,1628,Jason
9,2246,23,3325,1,357,Roger Martí
3,1295,10,2021,2,1325,Emmanuel Boateng
12,2810,3,1611,0,632,Alex Alegría
6,1989,23,3147,5,1279,Giampaolo Pazzini
17,2437,15,2262,7,1309,Armando Sadiku
8,2487,2,1119,0,480,Jairo Samperio
1,1104,2,764,1,684,Hernán Toledo
