15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
0,495,6,2205,7,1469,Samuel Eduok
1,1798,1,878,1,1060,Ilhan Depe
0,175,7,2398,11,2056,Trezeguet
20,3357,6,1376,4,467,Mbaye Diagne
1,1259,6,1725,1,314,Bengali-Fodé Koita
5,1642,0,128,1,302,Franck Etoundi
4,1465,7,2212,2,411,Adam Stahl
,,3,1471,8,1588,Ahmet Karadayi
6,1705,9,1888,1,551,Hervé Kage
17,2449,12,2529,3,621,Leandrinho
8,2736,0,94,1,821,Marius Alexe
11,2079,8,2655,0,759,Ergin Keles
1,593,3,875,5,644,Yusuf Akbulut
4,1765,7,3592,0,1197,Sebá
2,1844,4,1361,8,2131,Marko Marin
6,1342,4,2130,1,1474,Kevin Mirallas
8,1900,4,1326,4,1660,Felipe Pardo
2,538,28,2837,14,2095,Uros Djurdjevic
10,2073,9,2406,14,1552,Karim Ansarifard
2,261,5,1373,1,321,Nikolaos Vergos
20,3760,6,1431,5,1820,Róbert Mak
0,384,1,2124,1,1432,Dimitrios Limnios
7,2323,5,3212,6,1629,Djalma
16,2914,18,2445,21,2420,Aleksandar Prijovic
6,962,6,1612,3,857,Efthymios Koulouris
1,382,8,2046,14,2421,Lazaros Christodoulopoulos
1,598,7,1537,10,2648,Marko Livaja
5,1909,11,2161,11,2368,Sergio Araujo
2,706,12,2514,2,449,Georgios Giakoumakis
1,214,0,555,1,199,Dimitrios Melikiotis
4,2206,2,540,4,857,Anthony Mounier
5,1442,6,1599,0,146,Giannis Mystakidis
,,1,596,0,1006,Anastasios Chatzigiovannis
,,,,0,46,Dimitrios Emmanouilidis
,,,,0,19,Christos Kountouriotis
5,1330,2,453,7,1425,Guillermo Molins
,,1,66,0,383,Sotiris Pispas
5,2217,7,2175,11,2213,Amr Warda
7,2629,10,2558,1,1520,Bruno
7,2852,9,2499,3,751,Georgios Manousos
14,1779,13,1464,7,1957,Abiola Dauda
4,2250,4,656,6,2314,Nicolas Diguiny
,,,,1,90,Konstantinos Kotsopoulos
2,2455,6,2291,7,2745,Georgios Masouras
6,2069,1,1132,10,1845,Srdjan Spiridonovic
0,19,1,1153,8,2114,Lazaros Lamprou
,,0,104,0,131,Gerasimos Voukelatos
4,479,1,731,7,1323,Samed Yesil
1,776,8,2015,5,1557,Fiorin Durmishaj
8,2432,2,437,3,1059,Nicki Bille Nielsen
1,881,5,1427,6,2155,Farley Rosa
,,0,82,0,149,Ilias Gianniotis
0,759,2,2257,3,1500,Clésio Baúque
1,816,1,1850,5,2340,Jorge Díaz
9,991,10,1910,7,1725,Vlad Morar
,,0,64,0,1,Georgios Vakrakos
1,878,0,544,0,855,Eugenio Isnaldo
,,0,150,,,Gyeol-Hee Jang
5,1282,2,2019,4,1491,Nikolaos Kaltsas
,,1,720,0,1043,Giannis Kotsiras
1,1321,0,451,5,1143,Nabil Jaadi
,,0,234,1,1394,Giannis Bastianos
10,2330,12,2204,8,1895,Michalis Manias
,,,,2,630,Anastasios Douvikas
,,3,1589,5,1485,Rooney Wankewai
,,2,219,0,65,Enes Dolovac
3,555,2,1103,0,1715,Georgios Manthatis
5,2115,2,1593,2,764,Karim Soltani
17,3168,14,2118,19,2117,Pedro Conde
2,1443,5,1171,0,48,Philip Hellquist
,,,,1,823,Franck Betra
0,1602,5,1923,5,1565,Denis Epstein
0,1171,0,818,3,482,Fábio Nunes
9,2009,2,1506,1,505,Alexandros Kontos
4,2435,1,1601,1,880,Fotis Georgiou
2,782,7,2353,2,565,Thuram
3,789,4,1081,1,536,Nestoras Mytidis
4,1970,1,295,3,1566,Georgios Pamlidis
,,0,249,1,618,Jonathan Bauman
0,521,3,382,1,727,Konstantinos Georgakopoulos
1,459,9,1912,5,1908,Christos Albanis
8,2682,13,2236,0,482,Savvas Siatravanis
2,2243,8,2920,7,1903,Enver Alivodic
4,1809,5,1676,0,504,Darren Maatsen
10,2235,8,930,11,1986,Anthony Stokes
2,622,10,2192,3,573,Eli Elbaz
0,0,6,598,1,1242,Gonzalo Castillejos
2,1530,3,1751,1,1245,Kike Boula
0,49,1,941,4,1309,Brito
4,3032,2,450,0,1203,Petar Djurickovic
0,417,2,1630,3,959,Panagiotis Triadis
14,3042,1,2150,9,2057,Erik Jendrisek
0,44,0,494,5,605,Matías Castro
,,,,0,25,Nikolaos Sampanidis
2,1470,0,1890,4,1847,Milos Deletic
8,2683,3,1202,1,1573,Nemanja Mladenovic
,,0,0,0,8,Konstantinos Makris
5,2516,9,2627,7,2403,Thomas Nazlidis
3,1105,8,1832,8,2208,Sandi Krizman
5,810,4,1929,2,977,Emanuel Perrone
4,2671,2,457,1,775,Filip Kasalica
,,0,99,1,525,Giannis Papanikolaou
,,,,0,0,Gurjinder Singh
0,563,1,1490,5,2210,Clarck N'Sikulu
6,2908,3,1759,0,296,Shikoze Udoji
0,61,9,1629,3,884,Antonis Petropoulos
6,1909,6,1756,1,772,Piotr Grzelczak
9,2228,2,2496,3,1803,Wanderson
2,1851,0,688,2,808,Nikolaos Tsoukalos
9,2081,13,2536,0,337,Michalis Frangos
3,1269,4,1659,1,1631,Evgen Budnik
8,2081,4,1087,1,490,Nikola Asceric
,,0,78,0,28,Vangelis Patsarouchas
8,2335,8,2056,8,2069,Petros Giakoumakis
1,1134,1,630,2,1980,Mohamed Youssouf
0,154,0,198,2,1114,Chahir Belghazouani
0,32,1,422,0,73,Souleymane Sawadogo
8,2521,8,1851,4,1428,Marko Markovski
,,,,0,218,Fotis Ioannidis
31,4434,20,3972,29,2697,Neymar
9,2584,10,2721,4,2105,Julian Draxler
1,496,26,2663,17,2753,Kylian Mbappé
15,3402,14,3091,17,2321,Ángel Di María
25,3629,49,4138,33,3170,Edinson Cavani
5,2191,14,4209,3,2073,Thomas Lemar
5,2311,16,2075,8,1895,Keita Baldé
2,877,8,783,0,87,Gabriel Boschilia
3,915,6,2218,11,2487,Rony Lopes
10,2082,3,1898,2,1213,Rachid Ghezzal
0,57,8,579,4,393,Jordi Mboula
1,363,30,2965,23,2347,Falcao
7,1715,7,1449,9,966,Stevan Jovetic
,,5,963,3,1081,Adama Diakhaby
0,817,9,1208,2,304,Pietro Pellegri
7,2555,5,1382,12,2843,Memphis Depay
,,,,0,87,Willem Geubbels
12,1925,10,3002,4,1755,Maxwel Cornet
5,693,13,3074,11,2153,Bertrand Traoré
27,2053,5,302,18,2850,Mariano Díaz
,,2,521,3,516,Myziane Maolida
,,0,343,0,169,Amine Gouiri
4,1328,3,1518,13,2547,Lucas Ocampos
5,1856,15,3500,18,3162,Florian Thauvin
,,,,0,117,Yusuf Sari
0,386,4,1141,7,1406,Clinton N'Jie
25,3009,27,3224,8,951,Konstantinos Mitroglou
14,3248,17,3522,15,2785,Valère Germain
1,547,3,2842,3,2235,Allan Saint-Maximin
3,1651,4,647,3,1208,Bassem Srarfi
,,0,441,1,91,Vincent Marcel
3,994,17,2106,22,2351,Mario Balotelli
6,1412,14,2328,15,3374,Alassane Pléa
1,304,3,298,,,Mickaël Le Bihan
4,1493,8,2164,3,1784,François Kamano
2,571,9,3275,8,2411,Malcom
9,2074,14,3796,2,1023,Jonathan Cafú
14,3196,12,3188,6,1823,Martin Braithwaite
8,3041,14,2156,5,2201,Nicolas de Préville
9,1585,13,2406,3,895,Gaëtan Laborde
6,648,6,1427,4,851,Alexandre Mendy
1,989,1,333,8,1918,Max Gradel
7,1946,3,1657,3,978,Jimmy Durmaz
7,2848,2,1512,0,1841,Corentin Jean
4,1230,11,2246,6,1656,Firmin Mubele
13,3349,9,1904,5,2110,Andy Delort
3,1008,7,1998,2,964,Ola Toivonen
3,678,4,205,4,960,Yaya Sanogo
,,5,2113,4,1468,Ismaïla Sarr
7,1628,1,181,7,958,Diafra Sakho
6,1590,13,3202,1,440,Brandon
2,804,2,265,4,1645,Luiz Araújo
,,,,0,154,Imad Faraj
2,706,3,1629,10,2205,Nicolas Pepe
11,2483,8,2172,4,1858,Anwar El Ghazi
10,954,2,1304,3,1382,Ezequiel Ponce
,,2,686,10,2156,Lebo Mothiba
5,853,4,2641,0,735,Yassine El Ghanassy
1,96,0,75,,,Alexis Alégué
6,2170,15,2995,14,2538,Emiliano Sala
6,1037,18,3307,1,405,Kalifa Coulibaly
7,2531,8,1988,2,878,Prejuce Nakoulma
4,1911,0,157,,,Kolbeinn Sigthórsson
5,1870,4,1819,4,800,Yacine Bammou
,,0,0,0,0,Randal Kolo Muani
,,,,1,509,Santy Ngom
2,986,2,1739,1,488,Paul-Georges Ntep
5,3020,5,3355,2,1251,Kévin Monnet-Paquet
1,1762,6,1772,7,2157,Jonathan Bamba
8,2078,8,2750,1,1451,Romain Hamouma
12,1969,2,1795,0,763,Oussama Tannane
11,1618,9,2062,6,862,Robert Beric
9,4278,1,1351,0,586,Keagan Dolly
1,419,3,1222,2,1027,Jonathan Ikoné
6,2733,4,1680,8,1992,Isaac Mbenza
8,2126,1,1347,5,1084,Souleymane Camara
7,2804,9,2763,7,1711,Giovanni Sio
7,1998,5,515,4,1152,Casimir Ninga
0,0,,,0,0,Jérémie Porsan-Clemente
4,3075,1,1117,3,1628,Naïm Sliti
1,454,6,1335,7,1667,Wesley Saïd
6,1622,0,220,6,1693,Chang-hun Kwon
14,2434,1,710,4,1445,Benjamin Jeannot
12,3153,10,2889,12,1768,Julio Tavarès
1,1934,4,2960,3,1585,Marcus Coco
4,1347,2,210,2,1103,Nicolas Benezet
2,1840,1,806,2,967,Abdoul Camara
5,2085,1,978,0,106,Thibault Giresse
10,2781,8,2989,3,1600,Yannis Salibur
13,3630,4,1486,4,742,Yeni N'Gbakoto
8,3218,13,3232,6,2528,Jimmy Briand
0,773,1,1088,3,1493,Marcus Thuram
0,22,4,1081,5,587,Nathaël Julan
0,1093,2,904,0,1012,Hervé Bazile
0,600,1,660,0,593,Jordan N'Kololo
1,662,4,2677,3,2051,Jan Repas
2,772,2,2435,1,367,Timo Stavitski
10,3068,11,3078,6,2838,Ronny Rodelin
13,2423,18,3191,8,2467,Ivan Santini
6,2189,10,2084,3,1617,Enzo Crivelli
8,1457,8,1836,1,990,Christian Kouakou
3,1372,0,369,0,90,Thomas Touré
6,2918,1,291,0,445,Billy Ketkeophomphone
2,2584,0,964,1,708,Gilles Sunu
1,178,5,1440,0,42,Wilfried Kanga
11,3034,8,2537,14,2411,Karl Toko Ekambi
0,612,9,2430,2,597,Baptiste Guillaume
1,395,3,413,,,Goran Karanovic
0,618,0,348,3,512,Férébory Doré
,,2,533,4,1765,Martin Terrier
1,111,16,2882,3,1043,Idriss Saadi
10,1476,9,1694,6,1922,Nuno Da Costa
6,1644,7,1737,7,1346,Stéphane Bahoken
7,2541,8,1457,4,894,Jérémy Blayac
13,2392,2,1539,5,1029,Hyun-Jun Suk
,,23,2640,6,1695,Adama Niane
4,997,8,1659,0,276,Jonathan Tinhan
7,1166,1,712,0,44,Raphaël Cacérès
0,90,0,0,0,70,Mamadou Sissako
7,2695,1,2158,2,2257,Mathieu Dossevi
1,752,3,2504,0,1116,Opa Nguette
,,,,0,131,Ablie Jallow
11,3149,5,1894,12,2459,Nolan Roux
,,,,5,1075,Ibrahima Niane
0,63,0,895,5,1421,Emmanuel Rivière
5,1223,8,2413,1,761,Stiven Mendoza
14,3135,14,2872,11,2290,Moussa Konaté
10,1353,8,1844,0,653,Lacina Traoré
0,235,0,172,1,189,Quentin Cornette
,,1,77,1,390,Bachibou Koita
7,3408,7,1925,3,2006,Douglas Costa
6,2834,14,2851,5,988,Federico Bernardeschi
5,2465,3,2907,4,1405,Juan Cuadrado
38,3287,32,4486,21,2919,Gonzalo Higuaín
13,2678,11,3879,7,2494,Mario Mandzukic
13,2856,20,3767,13,2980,Lorenzo Insigne
6,1701,4,1462,1,332,Adam Ounas
,,6,779,1,269,Leandrinho L
13,3389,17,4146,10,3300,José Callejón
11,1682,34,3215,21,3193,Dries Mertens
24,3275,8,872,2,213,Arkadiusz Milik
10,2915,11,3042,7,2500,Ivan Perisic
12,3141,8,3514,0,2083,Antonio Candreva
,,5,2263,1,411,Yann Karamoh
16,2636,26,3426,18,2194,Mauro Icardi
17,1847,19,2422,7,853,Andrea Pinamonti
4,2539,10,2362,7,1975,Diego Perotti
11,2447,12,2325,7,1893,Stephan El Shaarawy
6,2463,9,3292,6,1080,Cengiz Ünder
0,72,1,491,2,828,Gerson
10,2555,39,4038,16,2920,Edin Dzeko
7,2015,13,1653,1,636,Patrik Schick
7,2099,16,2591,1,571,Grégoire Defrel
5,1988,2,1911,4,2056,Fabio Borini
6,1296,7,3120,8,2941,Suso
7,2463,0,283,0,84,Nnamdi Oduamadi
17,3346,21,3399,9,1691,André Silva
16,3214,20,3196,4,1745,Nikola Kalinic
14,2130,21,2130,14,1995,Patrick Cutrone
12,3732,5,1930,3,545,Nani
,,1,80,0,277,Pedro Neto
9,1673,26,3517,34,2882,Ciro Immobile
10,2360,2,1342,4,981,Felipe Caicedo
6,1498,1,511,0,0,Filip Djordjevic
1,605,0,230,,,Brayan Perea
5,2011,1,1075,0,367,Rafik Zekhnini
8,2396,5,2166,5,2337,Federico Chiesa
6,1253,8,2972,2,1015,Gil Dias
5,1281,13,2736,8,2423,Giovanni Simeone
3,1231,13,3211,3,1675,Diego Falcinelli
12,2995,12,2500,7,1359,Cyril Théréau
7,2001,5,2739,5,1758,Andrea Petagna
6,1837,21,3426,6,1070,Andreas Cornelius
3,1848,2,2251,2,1048,Álex Berenguer
3,1501,12,2532,11,2406,Iago Falque
13,2203,1,494,2,205,Simone Edera
12,2749,28,3297,8,2024,Andrea Belotti
8,1411,5,2377,4,1810,M'Baye Niang
8,1573,11,3244,9,1677,DuvĂĄn Zapata
7,1798,12,1654,6,423,Dawid Kownacki
8,2693,12,2975,17,2223,Fabio Quagliarella
9,3041,5,1952,0,778,Antonino Ragusa
21,2343,12,1903,2,722,Nicholas Pierini
8,2451,10,2042,3,1735,Domenico Berardi
5,1071,8,2878,4,2127,Matteo Politano
7,1199,14,1764,7,1001,Khouma Babacar
7,1488,8,1800,3,982,Alessandro Matri
1,1491,4,2447,4,1879,Rodrigo de Paul
4,1482,1,1055,1,114,Svante Ingelsson
5,1639,14,3468,9,1741,Kevin Lasagna
3,642,6,1065,1,608,Stipe Perica
3,1696,15,3072,,,Rodrigo Aguirre
6,1296,3,564,6,1514,Maxi López
10,2513,8,2564,1,493,Iuri Medeiros
30,4044,8,1362,2,786,Gianluca Lapadula
8,1872,6,1316,0,33,Giuseppe Rossi
13,2245,13,3095,3,1054,Andrej Galabinov
,,1,179,4,1541,Eddy Salcedo
8,3675,2,2878,0,376,Ladislav Krejcí
4,874,6,2214,6,1971,Simone Verdi
22,3036,8,2893,0,336,Riccardo Orsolini
8,2877,5,1306,1,1456,Federico Di Francesco
8,2135,11,2728,6,1504,Mattia Destro
6,2129,12,2771,2,425,Felipe Avenatti
3,1524,2,767,4,1423,Rodrigo Palacio
15,2036,4,961,7,1842,Leonardo Pavoletti
11,2206,8,2431,2,814,Marco Sau
,,2,303,7,1410,Kwang-Song Han
9,1893,1,810,0,272,Niccolò Giannetti
,,1,188,0,156,Damir Ceter
7,2185,2,386,1,304,Emanuele Giaccherini
15,1620,6,1640,5,1446,Emanuel Vignato
3,1377,12,2220,9,2005,Roberto Inglese
15,2790,10,1879,1,351,Mariusz Stepinski
5,1069,10,1738,2,626,Sergio Pellissier
10,2461,0,499,6,1596,Alberto Paloschi
1,693,2,1450,0,166,Federico Bonazzoli
9,2564,20,3263,8,1745,Mirco Antenucci
9,1727,20,2685,1,857,Marco Borriello
6,1552,7,1390,3,903,Sergio Floccari
1,193,1,417,0,291,Seung-Woo Lee
1,465,0,100,2,677,Rolando Aarons
3,516,8,1953,4,1843,Daniele Verde
4,1384,0,43,2,994,Alessio Cerci
0,691,5,2025,1,390,Enrico Bearzotti
25,1940,14,1480,4,1221,Moise Kean
8,2088,3,1652,0,865,Bruno Petkovic
3,1336,1,1006,1,1123,Marco D'Alessandro
8,3830,7,2955,6,2065,Guilherme
4,1089,1,698,0,502,Vittorio Parigini
4,1387,1,485,0,973,Cristiano Lombardi
37,3518,6,692,1,503,Pietro Iemmello
17,3182,16,3752,3,1283,Massimo Coda
13,1880,14,1742,1,34,Cheick Diabaté
5,1920,3,1615,2,1686,Adrian Stoian
11,2947,2,1389,1,828,Federico Ricci
0,677,2,814,0,1262,Andrea Nalini
,,3,508,2,614,Moussa Diaby
11,1811,3,1907,5,1536,Marcello Trotta
17,3322,1,479,7,1752,Ante Budimir
12,1779,30,2740,1,130,Marco Tumminello
20,3427,4,606,1,403,Simy
6,857,24,3640,10,1994,Henry Onyekuru
0,28,0,44,2,751,Francis Amuzu
2,1196,4,1741,0,83,Lazar Markovic
9,3256,6,3676,0,1254,Alexandru Chipciu
2,1475,6,1696,2,829,Massimo Bruno
6,637,30,3953,10,2200,Lukasz Teodorczyk
5,1210,9,2201,3,864,Silvere Ganvoula
7,1291,2,1250,0,490,Lior Refaelov
,,0,498,0,238,Thibault Vlietinck
,,6,1800,12,1462,Emmanuel Dennis
10,1877,6,1297,9,2103,Wesley
20,3114,0,927,12,1999,Abdoulay Diaby
16,2544,18,3096,7,1287,Jelle Vossen
,,8,1744,0,0,Krépin Diatta
9,2130,9,2800,3,411,Leandro Trossard
,,0,11,,,Holly Tshimanga
7,3255,0,718,2,1195,Dieumerci Ndongala
,,,,1,708,Edon Zhegrova
,,0,26,1,191,Dante Vanzeir
10,3527,7,3276,4,1980,Thomas Buffel
5,1295,23,3184,7,1734,Marcus Ingvartsen
5,1085,21,4115,4,1413,Mbwana Samatta
3,2339,5,2843,5,1938,Moses Simon
0,18,5,2313,0,0,Aboubakary Koita
4,1153,7,3652,6,1882,Samuel Kalu
11,2579,23,3192,7,2374,Yuya Kubo
1,388,13,3235,2,1672,Mamadou Sylla
0,45,6,1580,9,1491,Roman Yaremchuk
24,3101,17,3293,20,1787,Rangelo Janga
9,2881,7,2728,4,1876,Edmílson Junior
0,753,4,2031,5,2529,Paul-José Mpoku
,,,,1,134,Moussa Djenepo
3,1342,5,1774,3,1553,Mehdi Carcela-González
7,2064,9,2281,4,1106,Duje Cop
4,1426,3,557,9,1135,Renaud Emond
,,,,12,2136,Hassane Bandé
1,1512,1,2005,3,1289,Clément Tainmont
0,651,,,0,481,Andy Kawaya
,,,,0,11,Abou Ouattara
8,2339,10,2024,2,1159,Fatos Beqiraj
10,2592,9,2532,2,1019,Nicolas Verdier
1,323,1,218,5,1238,Nicklas Pedersen
13,2583,13,2677,8,2058,Knowledge Musona
0,485,1,878,1,178,Ibrahima Conté
12,2529,13,2496,0,8,Nicolas Rajsel
10,2233,15,2539,4,1265,Richairo Zivkovic
10,3013,12,3082,13,2011,Zinho Gano
7,1978,4,555,6,1357,Joseph Akpala
2,1308,2,2898,2,390,Theo Bongonda
0,537,6,1270,7,2192,Nill De Pauw
1,1473,4,2310,0,452,Alessandro Cordaro
0,111,0,332,9,1906,Aaron Leya Iseka
10,2245,7,2248,8,2448,Peter Olayinka
11,2133,3,936,6,999,Ivan Saponjic
12,1744,6,1470,9,1286,Hamdi Harbaoui
5,2549,1,1805,3,1307,Ivo Rodrigues
8,3080,6,857,0,384,Jonathan Pitroipa
0,1370,1,950,0,47,Romain Habran
5,2300,2,912,6,1490,Stallone Limbombe
2,399,4,1007,3,973,Obbi Oulare
1,293,3,929,3,782,Joaquín Ardaiz
6,1593,8,1666,8,1714,William Owusu Acheampong
4,1593,5,1056,0,0,Björn Vleminckx
5,1088,0,90,0,65,Kafoumba Touré
9,654,1,31,0,59,Roberto Núñez
8,2346,5,2239,4,1854,Amara Baby
11,2686,4,2207,5,1073,Mamadou Fall
6,2235,4,2564,5,1648,Romain Grange
3,2465,2,1100,0,23,Jordan Remacle
8,2557,13,3624,12,2533,Kaveh Rezaei
4,664,6,1992,2,884,Chris Bedia
6,2115,8,2307,2,827,David Pollet
2,1105,9,1990,5,1224,Igor Vetokele
0,300,6,1987,2,140,Cristian Ceballos
1,1549,6,2046,0,171,Elton Acolatse
2,626,1,590,3,1384,Jonathan Legear
0,749,2,1091,2,1756,Jordan Botaka
5,742,7,1666,6,1762,Yohan Boli
7,2152,3,563,3,1000,Chuba Akpom
1,738,3,628,0,449,Babacar Gueye
,,3,178,0,170,Kurt Abrahams
,,2,510,8,2472,Nana Opoku Ampomah
5,1902,1,1679,2,1946,Aleksandar Boljevic
5,1061,6,1779,3,799,Tuur Dierckx
2,1778,0,835,1,26,Floriano Vanzo
3,2072,4,1688,2,681,Olivier Myny
1,672,4,1011,16,2432,Isaac Thelin
0,226,1,417,1,663,Ryan Mmaee
,,0,67,0,51,Cherif Ndiaye
5,2928,4,2496,7,2438,Steve De Ridder
,,2,1190,1,292,Bob Straetman
4,1488,0,402,,,Mohamed Ofkir
2,2068,3,2061,2,1117,Guus Hupperts
5,2535,5,1715,4,842,Marko Miric
,,,,0,0,Yusuf Lawal
3,1061,10,2310,2,1308,Tom De Sutter
7,1965,11,1709,0,22,Jean Alassane Mendy
2,1042,1,435,0,419,Lewis Enoh
0,670,3,2593,7,1939,Idir Ouali
4,1420,4,1542,16,2797,Teddy Chevalier
25,2964,16,2200,10,1799,Jérémy Perbet
9,2813,4,1948,0,101,Athanasios Papazoglou
0,210,0,624,1,1346,Fabrice Olinga
10,3225,8,2320,8,1642,Dorin Rotariu
1,471,0,256,7,2098,Jonathan Bolingi
1,921,8,1672,8,2276,Taiwo Awoniyi
0,10,13,2398,0,750,Mario Jelavic
3,1342,2,543,0,205,Yanis Mbombo
1,69,,,0,73,Clément Petit
3,1969,5,2062,6,2436,Eric Ocansey
1,662,0,274,2,442,Florian Raspentino
20,3550,18,4025,10,2180,Mbaye Leye
6,2104,0,169,3,874,Mamadou Koné
1,90,,,0,164,Moussa Diallo
0,0,1,147,0,35,Damien Mouchamps
9,3245,7,1927,10,2986,Yacine Brahimi
8,2541,6,2219,2,1862,Jesús Corona
8,1178,12,2390,1,594,Hernâni
18,3066,19,2423,26,2588,Vincent Aboubakar
14,2738,20,3302,11,1115,Tiquinho Soares
4,1932,1,585,10,1925,Gonçalo Paciência
7,1793,7,3642,11,3048,Gelson Martins
6,2895,4,1882,0,1041,Daniel Podence
10,1965,37,3667,27,2867,Bas Dost
11,1650,21,1903,8,1221,Seydou Doumbia
2,1748,7,2472,4,2196,Franco Cervi
13,2974,10,3553,0,798,Diogo Gonçalves
0,362,9,2902,7,2064,Eduardo Salvio
12,3770,2,1805,1,965,Rafa Silva
12,2240,1,1583,3,1380,Andrija Zivkovic
12,1715,11,1182,5,938,RaĂşl JimĂŠnez
36,3852,18,1828,34,2881,Jonas
4,2567,4,1405,7,1299,Haris Seferovic
15,3432,4,1573,6,1753,Ahmed Hassan
12,2449,8,1462,9,938,Dyego Sousa
5,987,4,2200,16,2930,Raphinha
5,1828,2,2313,6,1885,Héldon
5,3736,2,2006,0,1170,Fábio Sturgeon
3,158,2,2558,1,1063,Hélder Ferreira
,,16,2761,4,1184,Welthon
1,1345,1,585,2,1534,Junior Tallo
2,750,2,1664,3,564,Sebastián Rincón
2,356,,,7,1547,Óscar Estupiñán
20,2479,3,1177,5,1541,Rafael Martins
9,1869,8,2175,10,2231,Hélder Guedes
6,2083,4,1831,6,2390,Ricardo Valente
3,1379,4,1951,0,82,Gevorg Ghazaryan
2,2624,7,3083,1,920,Ibson
6,2932,2,2372,2,1858,Edgar Costa
1,653,8,670,10,2072,Rodrigo Pinho
2,621,3,1629,1,354,Joel Tagueu
,,,,3,1071,Everton
13,3027,7,1767,1,1248,André Claro
0,0,4,2085,0,467,Matheus Índio
,,11,3102,0,544,Jorman Aguilar
1,1067,1,702,5,1477,Allano Lima
1,565,1,234,1,371,Ewandro Costa
1,1331,1,272,0,946,Victor Andrade
0,186,10,1968,6,1484,Kléber
8,1196,8,1201,0,479,Bruno Gomes
0,175,6,1259,1,677,Jorginho
7,2735,6,3028,4,1869,Davidson
13,1801,9,1649,4,1675,Matheus Pereira
5,1978,6,2721,0,532,Perdigão
9,2242,4,1716,9,1539,William A
17,3711,7,1574,4,913,Platiny
6,1798,6,1728,9,2081,Shoya Nakajima
1,1759,3,1958,0,619,Wilson Manafá
0,120,8,3498,2,1281,Wellington Carvalho
,,2,1809,2,964,Tabata
18,4690,4,1077,13,2265,Fabrício
,,14,3392,12,1250,Rui Costa
14,4177,23,3666,3,810,Pires
16,2378,,,,,Yannick Djaló
,,4,815,10,1704,André Pereira
13,2106,9,2070,5,1271,Edinho
,,,,1,69,Allef
8,1553,5,1774,1,262,Nathan
2,419,5,1546,0,2005,Diogo Viana
6,2156,1,1376,0,481,Licá
,,0,258,2,888,Benny
6,2279,6,930,4,2013,Maurides
3,1974,1,900,1,245,Yazalde
9,1599,4,474,1,639,Tiago Caeiro
4,2557,8,1359,2,1502,Kuca
5,1286,3,2639,6,1402,Mateus
4,1672,4,2683,3,1351,Renato Santos
8,2904,7,1265,0,45,Ricardo Clarke
1,281,14,1914,1,552,Rui Pedro
9,1332,12,2307,0,772,Leonardo Ruiz
0,195,2,1431,0,406,Iván Bulos
0,206,0,758,3,657,Yusupha Njie
,,2,402,,,Idé Colubali
,,,,0,141,Hêndrio
0,232,6,2159,2,1213,Awer Mabil
23,3709,,,4,1323,Bruno Moreira
1,450,3,567,8,865,Luiz Phellype
2,1038,,,,,Rabiola
5,2072,4,1934,5,1922,Arsénio
1,1281,5,2439,3,1629,Bilel Aouacheria
1,822,2,1841,0,103,Ousmane Dramé
2,1217,3,2254,2,1753,Zizo
,,2,261,1,582,Edno
,,,,2,1273,Ronaldo Peña
,,1,670,8,1766,Murilo
5,2359,8,2619,3,904,Tyler Boyd
3,892,4,1766,2,1284,Juan Delgado
0,474,1,2262,4,1933,Miguel Cardoso
5,3345,11,3725,1,1068,Harramiz
2,1836,4,2373,6,2087,Tomané
1,539,2,1012,2,630,Heliardo
1,709,2,2154,1,1120,Luís Machado
0,1327,1,649,1,1684,Edson Farias
1,1395,2,1603,1,1437,Hugo Seco
6,1913,3,1724,0,372,Zé Manuel
6,2355,7,2647,1,695,Anastasios Karamanos
2,1005,0,496,4,1907,João Silva
,,0,117,2,483,José Valencia
5,2680,6,3006,6,2218,Amilton
1,1493,2,2056,2,1738,Nildo Petrolina
4,2082,2,570,0,456,Sami
3,954,1,663,1,748,Hamdou Elhouni
5,1580,3,948,3,1366,Derley
9,1400,0,5,3,885,Cristian Arango
14,2941,13,2747,2,857,Alexandre Guedes
16,2518,9,1433,1,301,Federico Falcone
